City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
473,port blair,11.6667,92.75,25.02,88,40,1.03,IN,1675730919
474,luanda,-8.8368,13.2343,26.0,83,40,2.06,AO,1675731069
475,nelson bay,-32.7167,152.15,27.22,71,2,5.81,AU,1675731070
476,naples,40.8333,14.25,5.97,60,0,5.14,IT,1675731071
477,mersing,2.4312,103.8405,22.95,94,20,3.09,MY,1675731071
478,yegorlykskaya,46.5656,40.6562,-4.65,70,100,7.78,RU,1675731072
479,gazojak,41.1875,61.4036,2.07,75,100,5.82,TM,1675731072
480,brodokalmak,55.5748,62.082,-12.5,96,100,2.34,RU,1675731073
481,kirakira,-10.4544,161.9205,28.6,79,100,5.42,SB,1675731073
482,wajir,1.7471,40.0573,23.51,72,0,6.37,KE,1675731073
483,vao,-22.6667,167.4833,25.85,69,18,6.31,NC,1675731074
484,inta,66.0317,60.1659,-21.6,99,91,3.61,RU,1675731074
485,jacareacanga,-6.2222,-57.7528,22.97,98,100,0.53,BR,1675731075
486,mujiayingzi,42.1167,118.7833,-5.77,41,100,0.99,CN,1675731075
487,noumea,-22.2763,166.4572,29.99,72,73,5.44,NC,1675731032
488,katangli,51.7102,143.2326,-16.97,90,66,3.97,RU,1675731076
489,wilmington island,32.0036,-80.9737,13.05,81,0,0.0,US,1675731076
490,matara,5.9485,80.5353,23.92,89,100,1.97,LK,1675731077
491,zaton,53.2936,83.8072,-10.23,85,75,4.0,RU,1675731077
492,comodoro rivadavia,-45.8667,-67.5,19.92,42,0,2.57,AR,1675731078
493,khovu-aksy,51.1333,93.6,-19.44,94,100,1.47,RU,1675731078
494,deputatskiy,69.3,139.9,-35.08,98,100,1.76,RU,1675731079
495,biu,10.6129,12.1946,21.09,19,100,3.38,NG,1675731080
496,vardo,70.3705,31.1107,1.99,87,100,15.43,NO,1675731080
497,sabya,17.1495,42.6254,25.79,74,99,2.61,SA,1675730816
498,boma,7.0805,-2.1697,23.73,86,100,1.16,GH,1675731081
499,banda aceh,5.5577,95.3222,25.62,83,87,2.18,ID,1675731081
500,half moon bay,37.4636,-122.4286,15.25,56,0,6.17,US,1675731082
501,bajos de haina,18.4154,-70.0332,25.74,76,5,2.12,DO,1675731084
502,ayan,56.45,138.1667,-26.09,71,23,3.67,RU,1675731084
503,miedzychod,52.5988,15.897,-4.15,66,4,1.01,PL,1675730860
504,kano,12.0001,8.5167,18.94,42,100,2.06,NG,1675731085
505,tshane,-24.0196,21.8684,22.53,63,95,1.88,BW,1675731086
506,lunavada,23.1333,73.6167,18.02,51,0,1.54,IN,1675731086
507,huilong,31.8111,121.655,8.85,80,100,2.98,CN,1675731087
508,erenhot,43.6475,111.9767,-9.08,91,90,2.07,CN,1675731087
509,hervey bay,-25.2986,152.8535,26.9,59,26,8.92,AU,1675731088
510,lompoc,34.6391,-120.4579,17.1,61,20,9.77,US,1675731089
511,george,-33.963,22.4617,20.75,100,100,1.54,ZA,1675731090
